id,psp
1,G.015424.794.75 - DEV - QS APP 2.0
2,G.015424.794.42 - DEV - PROPLA FX EPG
3,G.015424.794.44 - DEV - PROPLA FX ROLLOUT
4,G.015424.794.49 - DEV - PROPLA MOB
5,G.015424.794.76 - DEV - AQ APP 2.0
6,G.015424.794.46 - OPS - QS APP 2.0
7,G.015424.794.57 - OPS - PROPLA FX EPG
8,G.015424.794.58 - OPS - PROPLA FX ROLLOUT
9,G.015424.794.36 - OPS - PROPLA MOB
10,G.015424.794.43 - OPS - AQ APP 2.0
11,G.015424.794.70 - DEV - AXITRACK
12,G.015424.794.78 - DEV - AXIWAREHOUSE
13,G.015424.794.38 - DEV - EDUCATION DATABASE
14,G.015424.794.69 - DEV - ITUC IN TUNNEL COM OFFERTTOOL
15,G.015424.794.99 - DEV - METHODIC & MEETINGS
16,G.015424.794.39 - DEV - NIS-MESSUNG TOOL
17,G.015424.794.47 - DEV - TELCOSHOP
18,G.015424.794.62 - DEV - TICKETINGSYSTEM
19,G.015424.794.31 - OPS - AND SOLUTION (IT-POINT UMGEBUNG)
20,G.015424.794.56 - OPS - AQ - AXNET
21,G.015424.794.67 - OPS - AXITRACK
22,G.015424.794.71 - OPS - AXIWAREHOUSE
23,G.015424.794.37 - OPS - COLLIBRI
24,G.015424.794.59 - OPS - DEEPOMATIC (QSAPP OLD)
25,G.015424.794.33 - OPS - EDUCATION DATABASE
26,G.015424.794.41 - OPS - ERS
27,G.015424.794.48 - OPS - I AUDITOR
28,G.015424.794.32 - OPS - ITUC IN TUNNEL COM OFFERTTOOL
29,G.015424.794.34 - OPS - NIS-MESSUNG TOOL
30,G.015424.794.40 - OPS - ONTRACK
31,G.015424.794.45 - OPS – QGIS
32,G.015424.794.55 - OPS - RESSOURCENPLANUNG
33,G.015424.794.30 - OPS - TELCOSHOP
