id,project_name,q1,q2,q3,q4
1,Axians GA Netztechnik BA TI Mobile (Gifhorn) 1/26,P26000001,,,
2,VED Schutzsysteme 1/26,P26000002,,,
3,Axians Infoma Schweiz Al Migration 1/26,P26000005,,,
4,Axians Infoma Costumizing & SW 1/26,P26000006,,,
5,Axians Infoma AppSpace 1/26,P26000007,,,
6,Axians Schweiz AG Mendix 1/26,P26000008,,,
7,Axians Schweiz AG Propla Solution 1/26,P26000009,,,
8,Axians Industrial Appl IAS 1/26,P26000010,,,
9,Axians NEO Solutions & Technology GmbH _SAP 1/26,P26000011,,,
10,Axians Athos 1/26,P26000012,,,
11,Vinci Energies CEE ICT PIN Project 1/26,P26000013,,,
12,Axians ICT Austria Carbon 1/26,P26000014,,,
13,Axians ICT Austria Ibase 1/26,P26000015,,,
14,Axians eWaste eNATUREportal 1/26,P26000016,,,
15,Axians eWaste various 1/26,P26000017,,,
37,Vinci Energies Services GmbH World Table 1/26,P26000018,,,
16,Vinci Energies D Industry & Infra 1/26 Risk Management,P26000019,,,
19,Vinci EEE GmbH Software Legal 1/26 Compliance,P26000020,,,
17,Vinci EEE GmbH Software Legal 1/26 GIM Tool,P26000021,,,
23,VED TI Holding 1/26,P26000003,,,
24,Rhön-Montage 1/26,P26000004,,,
